Co,Vac,d
SOM,BCG,760364
PNG,BCG,475658
SSD,BCG,618544
TCD,BCG,1263933
CRI,BCG,133705
NGA,BCG,15859554
ETH,BCG,4882602
YEM,BCG,1954277
COG,BCG,399974
SLE,BCG,435274
COD,BCG,6976011
GIN,BCG,648958
HTI,BCG,530733
MDG,BCG,2114788
SYR,BCG,1261502
SOM,Measles,49611
PNG,Measles,0
SSD,Measles,437113
TCD,Measles,571938
CRI,Measles,0
NGA,Measles,8340941
ETH,Measles,8457228
YEM,Measles,0
COG,Measles,0
SLE,Measles,0
COD,Measles,3181158
GIN,Measles,441166
HTI,Measles,0
MDG,Measles,958484
SYR,Measles,0
SOM,DTwP,0
PNG,DTwP,0
SSD,DTwP,0
TCD,DTwP,0
CRI,DTwP,0
NGA,DTwP,0
ETH,DTwP,0
YEM,DTwP,0
COG,DTwP,0
SLE,DTwP,0
COD,DTwP,0
GIN,DTwP,0
HTI,DTwP,237668
MDG,DTwP,0
SYR,DTwP,0
