Co,Man,Vac,X
SOM,JL,BCG,0
SOM,JL,DTwP,0
SOM,JL,Measles,0
SOM,BB,BCG,760364
SOM,BB,DTwP,0
SOM,BB,Measles,0
SOM,SII,BCG,0
SOM,SII,DTwP,0
SOM,SII,Measles,49611
SOM,AJ,BCG,0
SOM,AJ,DTwP,0
SOM,AJ,Measles,0
SOM,BF,BCG,0
SOM,BF,DTwP,0
SOM,BF,Measles,0
SOM,BE,BCG,0
SOM,BE,DTwP,0
SOM,BE,Measles,0
PNG,JL,BCG,475658
PNG,JL,DTwP,0
PNG,JL,Measles,0
PNG,BB,BCG,0
PNG,BB,DTwP,0
PNG,BB,Measles,0
PNG,SII,BCG,0
PNG,SII,DTwP,0
PNG,SII,Measles,0
PNG,AJ,BCG,0
PNG,AJ,DTwP,0
PNG,AJ,Measles,0
PNG,BF,BCG,0
PNG,BF,DTwP,0
PNG,BF,Measles,0
PNG,BE,BCG,0
PNG,BE,DTwP,0
PNG,BE,Measles,0
SSD,JL,BCG,0
SSD,JL,DTwP,0
SSD,JL,Measles,0
SSD,BB,BCG,0
SSD,BB,DTwP,0
SSD,BB,Measles,0
SSD,SII,BCG,0
SSD,SII,DTwP,0
SSD,SII,Measles,437113
SSD,AJ,BCG,618544
SSD,AJ,DTwP,0
SSD,AJ,Measles,0
SSD,BF,BCG,0
SSD,BF,DTwP,0
SSD,BF,Measles,0
SSD,BE,BCG,0
SSD,BE,DTwP,0
SSD,BE,Measles,0
TCD,JL,BCG,0
TCD,JL,DTwP,0
TCD,JL,Measles,0
TCD,BB,BCG,1263933
TCD,BB,DTwP,0
TCD,BB,Measles,0
TCD,SII,BCG,0
TCD,SII,DTwP,0
TCD,SII,Measles,571938
TCD,AJ,BCG,0
TCD,AJ,DTwP,0
TCD,AJ,Measles,0
TCD,BF,BCG,0
TCD,BF,DTwP,0
TCD,BF,Measles,0
TCD,BE,BCG,0
TCD,BE,DTwP,0
TCD,BE,Measles,0
CRI,JL,BCG,0
CRI,JL,DTwP,0
CRI,JL,Measles,0
CRI,BB,BCG,133705
CRI,BB,DTwP,0
CRI,BB,Measles,0
CRI,SII,BCG,0
CRI,SII,DTwP,0
CRI,SII,Measles,0
CRI,AJ,BCG,0
CRI,AJ,DTwP,0
CRI,AJ,Measles,0
CRI,BF,BCG,0
CRI,BF,DTwP,0
CRI,BF,Measles,0
CRI,BE,BCG,0
CRI,BE,DTwP,0
CRI,BE,Measles,0
NGA,JL,BCG,0
NGA,JL,DTwP,0
NGA,JL,Measles,0
NGA,BB,BCG,15859554
