,manufacture,manufacture/country code,country,lat,lng
0,-,SOM,Somalia,5.152149,46.199616
1,-,PNG,Papua New Guinea,-6.314993,143.95555
2,-,SSD,South Sudan,6.8769919,31.3069788
3,-,TCD,Chad,15.454166,18.732207
4,-,CRI,Central African Republic,6.611111,20.939444
5,-,NGA,Nigeria,9.081999,8.675277
6,-,ETH,Ethiopia,9.145,40.489673
7,-,YEM,Yemen,15.552727,48.516388
8,-,COG,Congo,-4.038333,21.758664
9,-,SLE,Sierra Leone,8.460555,-11.779889
10,-,COD,DRC,-4.038333,21.758664
11,-,GIN,Guinea,9.945587,-9.696645
12,-,HTI,Haiti,18.971187,-72.285215
13,-,MDG,Madagascar,-18.766947,46.869107
14,-,SYR,Syria,34.802075,38.996815
