Countries_name;ISO;BCG;DTP1;DTP3;Measles;DTwP
Somalia;SOM;0.37;0.52;0.42;0.46;0.47
Papua New Guinea;PNG;0.52;0.48;0.39;0.47;0.435
South Sudan;SSD;0.52;0.51;0.49;0.49;0.5
Chad;TCD;0.6;0.69;0.52;0.47;0.605
CAR;CRI;0.61;0.54;0.42;0.41;0.48
Nigeria;NGA;0.67;0.65;0.57;0.54;0.61
Ethiopia;ETH;0.7;0.76;0.71;0.6;0.735
Yemen;YEM;0.71;0.83;0.72;0.68;0.775
Congo;COG;0.72;0.77;0.73;0.68;0.75
Sierra Leone;SLE;0.72;0.93;0.91;0.87;0.92
DRC;COD;0.73;0.66;0.57;0.57;0.615
Guinea;GIN;0.73;0.62;0.47;0.47;0.545
Haiti;HTI;0.73;0.75;0.51;0.65;0.63
Madagascar;MDG;0.73;0.73;0.68;0.59;0.705
Syria;SYR;0.74;0.65;0.49;0.59;0.57
